1361	0.028444	-0.029236
409	0.320625	0.268435
38	-0.030995	-0.072632
179	-0.018285	-0.055531
961	-0.044101	-0.100926
6	0.119895	-0.041667
685	0.064128	0.008044
9	-0.067077	-0.105556
8	0.148812	-0.013750
269	0.027552	-0.033941
127	0.047325	-0.010709
525	0.011234	-0.042571
465	-0.046713	-0.101656
7	0.059494	-0.051429
15	0.070970	0.018000
76	-0.033100	-0.105000
2	0.013796	-0.095000
77	0.040570	-0.008052
18	0.050150	-0.025000
11	-0.083811	-0.143636
4	0.065413	0.017500
26	-0.040181	-0.070385
3	0.066368	-0.043333
4	0.157017	0.042500
5	-0.086147	-0.170000
7	0.137360	0.085714
4	0.053485	-0.055000
19	0.057612	-0.021053
5	0.004156	-0.022000
360	-0.003294	-0.061639
5	0.021087	-0.020000
15	-0.052377	-0.118000
2	0.021314	-0.050000
2	0.266308	0.150000
34	-0.003460	-0.055882
90	0.016637	-0.030556
223	-0.019915	-0.076054
13	0.328713	0.231538
26	0.028351	-0.026154
6	-0.046586	-0.093333
14	-0.083063	-0.079286
2	0.047570	-0.050000
81	-0.032008	-0.077037
6	-0.008260	-0.016667
29	0.005089	-0.086552
3	0.139074	0.100000
7	0.083187	-0.071429
2	0.300996	0.290000
3	-0.221559	-0.133333
3	-0.032473	-0.083333
4	-0.075977	-0.225000
3	0.134799	0.116667
9	-0.170866	-0.241111
6	0.079588	-0.080000
3	0.217854	0.033333
9	0.051828	-0.055556
6	0.050862	0.033333
3	-0.058923	-0.166667
2	0.143219	-0.010000
30	0.102920	0.045333
45	-0.032425	-0.059778
2	-0.054718	-0.050000
2	-0.103837	-0.245000
2	0.178316	0.100000
3	0.099163	0.186667
7	-0.088798	-0.100000
3	-0.026710	-0.100000
5	-0.063253	-0.102000
3	-0.083314	-0.066667
4	0.006453	0.000000
4	-0.150258	-0.200000
5	-0.090345	-0.080000
4	0.061612	-0.055000
3	0.048155	-0.066667
3	0.426963	0.433333
4	0.076185	-0.050000
2	0.001517	0.050000
3	-0.019221	-0.083333
2	0.052251	-0.050000
3	-0.024557	-0.133333
4	-0.112014	-0.167500
3	-0.072120	-0.133333
2	-0.111741	-0.200000
2	-0.057853	-0.050000
4	-0.170778	-0.275000
4	0.148229	0.062500
3	-0.009239	-0.103333
3	0.160700	0.166667
3	0.264200	0.076667
2	-0.020556	-0.085000
6	-0.018310	-0.050000
3	0.035460	0.033333
2	0.071787	0.010000
2	0.301254	0.250000
31	0.174383	0.098710
57	-0.018064	-0.075263
22	0.238079	0.169091
2	-0.252648	-0.200000
3	-0.312916	-0.333333
26	-0.029851	-0.105385
2	0.131986	0.050000
5	0.037158	-0.070000
2	-0.055824	-0.095000
6	-0.092405	-0.166667
14	0.024085	-0.055714
2	0.004585	0.000000
5	-0.032731	-0.060000
2	0.029638	-0.100000
2	0.000000	-0.100000
4	-0.086587	-0.075000
33	0.063932	0.027273
56	0.022480	-0.058036
315	-0.031682	-0.088603
13	0.077682	0.023077
32	0.159071	0.096250
34	0.057024	0.004118
18	-0.157935	-0.211667
55	0.022047	-0.017273
14	0.025461	-0.071429
43	0.032470	-0.041395
10	0.244473	0.169000
20	0.042837	-0.035000
51	0.167885	0.111176
16	0.015932	-0.018125
2	0.152129	0.050000
6	0.096289	-0.056667
5	-0.217470	-0.168000
11	0.022933	-0.044545
11	0.046858	-0.033636
2	0.062978	-0.050000
11	0.030548	-0.081818
8	-0.022489	-0.067500
6	0.157863	0.050000
3	-0.278180	-0.200000
2	0.035380	-0.050000
